Well,OD600,CFP,GFP,OFP,OFP2
A1,1.396,13339,166,15,26
B1,1.011,8671,109,18,66
C1,1.313,12348,147,7,12
D1,1.648,22452,289,12,7
E1,1.516,16933,210,6,15
F1,1.022,7978,99,14,14
G1,0.871,7906,112,5,0
H1,1.117,9942,130,0,2
I1,1.453,16161,211,7,5
J1,1.115,10309,132,4,7
K1,0.044,79,10,4,6
L1,1.646,26535,451,20,11
M1,1.742,27901,479,9,7
N1,1.781,28844,536,9,11
O1,1.369,17745,224,12,4
P1,1.374,17787,308,2,10
A2,0.877,7748,100,32,70
B2,0.634,5039,72,40,87
C2,0.817,7486,101,8,12
D2,1.061,14392,202,5,6
E2,0.972,10818,138,15,20
F2,0.602,5211,60,15,22
G2,0.54,4742,62,7,0
H2,0.684,6399,89,2,6
I2,0.905,10242,141,2,4
J2,0.684,6592,83,7,3
K2,0.047,70,16,10,10
L2,1.047,17001,295,11,6
M2,1.006,17394,300,14,21
N2,1.063,19637,324,0,4
O2,0.808,12645,180,7,5
P2,0.826,10039,165,7,11
A3,0.382,3722,54,17,40
B3,0.331,2411,25,12,10
C3,0.36,3343,39,11,19
D3,0.49,7163,100,14,13
E3,0.411,4588,51,15,31
F3,0.323,2348,36,19,8
G3,0.282,2027,25,5,13
H3,0.364,3051,52,12,9
I3,0.409,5040,78,15,3
J3,0.36,3071,39,8,9
K3,0.047,60,4,12,13
L3,0.454,7241,126,3,4
M3,0.987,17867,299,6,0
N3,0.639,13289,228,14,17
O3,0.274,1557,17,2,5
P3,0.071,1566,26,12,6
A4,0.287,3050,43,19,52
B4,0.234,1792,31,33,60
C4,0.279,2850,42,14,6
D4,0.362,5408,69,8,19
E4,0.322,3987,54,21,34
F4,0.236,1638,22,17,30
G4,0.199,1597,31,4,10
H4,0.253,2209,36,15,4
I4,0.306,3818,50,10,0
J4,0.248,2309,39,11,7
K4,0.044,55,10,13,8
L4,0.464,8212,145,19,10
M4,0.494,9374,171,5,10
N4,0.454,8039,151,17,6
O4,0.348,6942,127,0,12
P4,0.442,4074,80,9,13
A5,0.209,2258,41,42,73
B5,0.158,1143,27,23,26
C5,0.205,2080,31,7,13
D5,0.229,3517,54,10,24
E5,0.218,2629,42,21,31
F5,0.152,1168,14,13,5
G5,0.141,1074,20,6,7
H5,0.165,1442,21,12,2
I5,0.195,2544,30,7,9
J5,0.159,1438,19,6,2
K5,0.044,58,5,16,16
L5,0.299,5197,93,7,5
M5,0.376,7466,132,2,6
N5,0.312,5541,108,13,8
O5,0.334,3912,72,20,13
P5,0.254,2191,42,12,8
A6,0.144,1297,17,48,79
B6,0.107,728,15,10,18
C6,0.137,1221,16,12,12
D6,0.145,2102,34,9,17
E6,0.151,1708,23,24,42
F6,0.103,672,23,4,11
G6,0.101,673,19,13,8
H6,0.118,901,18,19,9
I6,0.139,1732,27,12,9
J6,0.118,933,19,10,8
K6,0.044,67,6,10,12
L6,0.202,3043,49,14,5
M6,0.237,3933,82,0,10
N6,0.209,3367,62,19,6
O6,0.25,3051,53,15,5
P6,0.189,1227,36,7,0
A7,0.098,755,26,46,97
B7,0.082,425,11,33,50
C7,0.095,704,16,13,7
D7,0.109,1345,26,8,13
E7,0.109,1070,25,18,17
F7,0.08,436,14,10,8
G7,0.085,433,16,10,2
H7,0.083,528,9,6,5
I7,0.112,979,20,13,16
J7,0.086,549,11,12,11
K7,0.043,56,9,4,11
L7,0.128,1683,30,14,8
M7,0.214,3120,61,6,3
N7,0.166,1916,34,0,5
O7,0.102,438,13,0,3
P7,0.17,422,0,0,8
A8,0.08,478,13,53,110
B8,0.064,268,14,18,19
C8,0.074,430,13,13,8
D8,0.083,800,29,19,12
E8,0.079,623,8,28,35
F8,0.067,264,8,25,8
G8,0.062,264,22,18,9
H8,0.066,332,6,12,15
I8,0.075,615,24,22,4
J8,0.066,336,4,8,4
K8,0.044,57,4,7,14
L8,0.1,985,26,7,13
M8,0.127,1457,31,5,6
N8,0.106,1096,35,3,1
O8,0.143,859,24,21,0
P8,0.081,474,13,0,3
A9,1.429,255,28836,138,20
B9,1.392,264,30794,156,29
C9,1.632,378,35822,179,23
D9,0.788,183,16294,80,10
E9,1.627,426,38664,191,21
F9,0.86,176,17917,87,15
G9,1.329,257,27742,131,17
H9,1.507,335,32053,156,16
I9,1.646,424,37383,199,17
J9,1.123,227,30647,143,18
K9,0.046,61,25,12,10
L9,1.939,1017,27399,175,26
M9,1.877,756,27328,194,35
N9,1.937,1045,27305,184,37
O9,1.831,956,26891,172,31
P9,0.047,46,3,3,0
A10,0.899,165,19298,123,104
B10,0.918,152,18931,104,21
C10,1.105,224,22169,110,11
D10,0.492,121,9527,64,13
E10,1.133,245,24406,122,9
F10,0.524,119,10779,62,3
G10,0.824,169,18344,98,13
H10,1.006,185,19540,103,16
I10,1.102,240,23403,120,13
J10,0.708,137,19283,96,18
K10,0.044,56,13,11,9
L10,1.215,666,20152,116,14
M10,1.092,533,21114,114,17
N10,1.229,676,20236,111,24
O10,1.101,690,21222,115,12
P10,0.048,39,4,35,34
A11,0.39,97,8981,66,32
B11,0.43,98,9805,58,21
C11,0.465,119,11684,63,12
D11,0.249,81,4094,39,6
E11,0.487,146,12232,70,22
F11,0.245,75,4421,27,7
G11,0.384,105,8238,50,4
H11,0.436,114,9592,50,19
I11,0.482,125,11337,66,7
J11,0.33,81,8204,47,6
K11,0.046,57,2,17,6
L11,0.411,91,3021,22,5
M11,0.46,74,2731,21,4
N11,0.514,436,9598,59,10
O11,0.499,390,7820,52,18
P11,0.048,36,6,18,9
A12,0.333,89,8164,70,79
B12,0.322,92,7707,58,12
C12,0.362,111,9556,62,11
D12,0.182,92,3802,42,15
E12,0.387,114,9167,56,13
F12,0.194,78,4159,37,9
G12,0.294,92,7197,40,11
H12,0.316,100,8101,47,8
I12,0.366,110,9148,50,9
J12,0.271,77,7468,37,9
K12,0.048,59,15,8,12
L12,0.437,405,8050,48,8
M12,0.459,456,10001,50,12
N12,0.436,457,9301,55,13
O12,0.488,485,9716,61,10
P12,0.059,41,11,28,23
A13,0.211,74,4823,75,105
B13,0.203,74,4926,47,9
C13,0.238,96,5904,41,9
D13,0.141,80,2330,40,8
E13,0.255,95,6700,39,13
F13,0.138,78,2315,43,14
G13,0.193,79,4427,36,7
H13,0.217,87,5451,34,5
I13,0.253,99,6300,44,14
J13,0.181,67,4317,32,8
K13,0.049,61,5,9,10
L13,0.338,310,6239,36,12
M13,0.312,308,6274,40,13
N13,0.328,320,6399,32,17
O13,0.333,281,5232,30,9
P13,0.05,31,20,0,9
A14,0.143,77,2776,74,128
B14,0.135,63,2974,38,10
C14,0.161,74,3823,34,12
D14,0.089,63,1310,50,16
E14,0.174,81,3878,50,12
F14,0.099,77,1387,45,10
G14,0.132,67,2699,30,2
H14,0.148,70,3261,25,5
I14,0.16,88,3805,28,11
J14,0.122,71,2655,29,14
K14,0.043,56,11,13,11
L14,0.218,170,3309,27,0
M14,0.206,211,4427,23,8
N14,0.212,192,3337,16,11
O14,0.22,204,3794,23,4
P14,0.045,31,0,9,14
A15,0.101,66,1736,49,79
B15,0.098,59,1806,33,11
C15,0.111,72,2352,26,12
D15,0.07,67,778,49,10
E15,0.111,70,2185,47,11
F15,0.074,68,886,43,11
G15,0.092,79,1454,34,11
H15,0.106,67,1995,7,1
I15,0.11,65,2331,29,4
J15,0.097,76,1963,20,3
K15,0.05,62,17,33,9
L15,0.122,40,406,8,8
M15,0.1,45,599,3,2
N15,0.153,140,2363,25,4
O15,0.145,132,1835,14,14
P15,0.047,29,10,9,19
A16,0.081,57,980,53,88
B16,0.076,71,1111,29,19
C16,0.086,63,1356,39,12
D16,0.059,53,477,54,15
E16,0.098,57,1464,40,11
F16,0.061,64,496,43,11
G16,0.079,62,1087,31,14
H16,0.079,62,1227,18,6
I16,0.083,69,1263,18,4
J16,0.062,55,522,16,7
K16,0.044,63,16,40,9
L16,0.121,95,1426,20,5
M16,0.112,122,1832,20,17
N16,0.103,99,1425,12,22
O16,0.115,117,1487,19,7
P16,0.054,34,6,13,9
A17,1.781,496,1061,72049,72716
B17,1.488,291,1027,45583,45528
C17,1.572,381,1092,56254,56585
D17,1.72,457,1145,71857,71784
E17,1.747,413,1074,71410,71113
F17,1.526,321,1069,65586,65466
G17,1.702,459,1115,63640,63403
H17,1.445,287,915,37578,37675
I17,1.652,407,1056,57841,57665
J17,1.177,209,747,29831,29560
K17,0.047,67,23,62,22
L17,1.892,1004,513,51635,52832
M17,1.93,1276,597,45043,47043
N17,1.918,1035,513,46045,47270
O17,1.807,803,452,48113,49600
P17,0.046,50,0,8,9
A18,1.171,284,837,48991,49134
B18,0.988,171,662,27775,27857
C18,1.033,216,748,35567,35641
D18,1.175,274,843,46051,46034
E18,1.212,228,758,43149,43105
F18,1.059,193,761,40863,40764
G18,1.093,269,860,42717,42885
H18,0.954,175,655,24820,24976
I18,1.057,231,773,38513,38197
J18,0.742,135,533,20198,20033
K18,0.046,62,16,47,25
L18,1.126,630,325,34635,35259
M18,1.059,821,438,39413,39923
N18,1.178,634,329,32517,33444
O18,1.03,530,363,37762,38251
P18,0.044,25,4,7,15
A19,0.476,149,388,21918,22095
B19,0.418,99,307,12726,12682
C19,0.451,122,350,16455,16541
D19,0.486,126,370,20007,20163
E19,0.502,112,379,21061,21151
F19,0.413,107,334,17005,17233
G19,0.537,155,490,23537,23368
H19,0.394,104,325,11363,11337
I19,0.454,128,363,17521,17522
J19,0.347,86,242,8346,8341
K19,0.044,63,21,60,17
L19,0.484,449,285,19350,19544
M19,0.461,93,80,5985,6047
N19,0.436,68,63,5161,5240
O19,0.482,360,256,16662,17059
P19,0.045,31,5,9,8
A20,0.449,146,336,19361,19491
B20,0.348,95,281,11028,10980
C20,0.355,112,305,13881,13798
D20,0.402,137,347,18243,18200
E20,0.419,121,363,19798,19714
F20,0.366,102,319,16040,16056
G20,0.394,129,341,15964,15854
H20,0.325,95,275,9651,9638
I20,0.354,114,311,14459,14412
J20,0.296,81,201,6876,6960
K20,0.05,71,20,47,20
L20,0.497,490,328,20440,20680
M20,0.439,461,308,18956,19194
N20,0.469,482,338,20455,20672
O20,0.48,422,304,18539,18772
P20,0.051,35,6,12,3
A21,0.289,120,243,13163,13099
B21,0.219,76,185,6710,6684
C21,0.229,96,207,8882,8913
D21,0.258,106,235,11496,11398
E21,0.265,92,226,11698,11726
F21,0.225,83,210,9980,9845
G21,0.257,100,245,10681,10607
H21,0.211,74,172,5917,5865
I21,0.243,101,212,9814,9792
J21,0.196,75,145,4404,4382
K21,0.044,64,17,49,11
L21,0.304,309,212,12450,12504
M21,0.308,322,221,13039,13054
N21,0.277,286,180,11033,11153
O21,0.312,289,198,12027,12181
P21,0.048,31,10,20,15
A22,0.182,84,164,8275,8281
B22,0.151,77,131,4312,4276
C22,0.151,76,129,5427,5395
D22,0.185,86,155,7674,7561
E22,0.195,76,167,7960,7878
F22,0.163,82,149,6269,6206
G22,0.171,85,149,6515,6503
H22,0.144,70,117,3643,3599
I22,0.175,92,142,6231,6218
J22,0.136,65,96,2630,2566
K22,0.044,66,23,53,21
L22,0.226,194,117,7596,7674
M22,0.226,196,124,7798,7878
N22,0.231,220,146,8926,8949
O22,0.24,203,126,8062,8107
P22,0.066,29,7,9,11
A23,0.13,79,105,5037,5011
B23,0.1,68,72,2307,2234
C23,0.118,79,90,3161,3107
D23,0.125,69,111,4401,4349
E23,0.111,71,101,3779,3727
F23,0.112,62,98,3557,3486
G23,0.116,76,92,3566,3527
H23,0.104,68,71,2076,2036
I23,0.112,62,89,3166,3134
J23,0.107,61,69,1467,1382
K23,0.054,102,25,74,30
L23,0.164,137,96,4681,4687
M23,0.073,39,18,894,905
N23,0.077,43,27,883,900
O23,0.165,135,81,4776,4832
P23,0.053,37,0,10,11
A24,0.095,72,77,2761,2784
B24,0.089,67,64,1341,1295
C24,0.098,75,57,1784,1727
D24,0.1,62,67,2309,2256
E24,0.09,69,68,2566,2504
F24,0.087,52,59,1814,1777
G24,0.087,59,70,2144,2078
H24,0.084,54,57,1113,1062
I24,0.088,72,63,1805,1786
J24,0.076,55,45,816,784
K24,0.046,122,32,61,17
L24,0.12,89,54,2732,2737
M24,0.104,90,32,2308,2335
N24,0.095,113,55,2851,2896
O24,0.088,105,56,3027,3071
P24,0.046,40,7,22,9